First Name,Last Name,Email,Phone,Gender,Age,Job Title,Years of Experience,Salary,Department,Other Languages
Brittney,Washington,brittney.washington699@slingacademy.com,(350)854-8906x472,Female,40,"Pilot, airline",2,116670,Operations,Korean
Anahi,Buch,anahi.buch848@slingacademy.com,968-310-8849,Male,41,"Pharmacist, community",12,101420,Sales,
Paul,Rosales,paul.rosales559@slingacademy.com,460.977.9764,Male,46,Dietitian,6,116670,Operations,Spanish
Charvi,Mangat,charvi.mangat980@slingacademy.com,464.587.9088x574,Female,67,Environmental health practitioner,1,78000,Marketing,"Hindi, Korean"
Hrishita,Mandal,hrishita.mandal307@slingacademy.com,9027642302,Male,31,Archivist,3,129000,Finance,Mandarin
Armaan,Anand,armaan.anand884@slingacademy.com,(477)650-6540,Male,70,Architectural technologist,4,149000,Product,
Neysa,Sankar,neysa.sankar665@slingacademy.com,+1-231-387-4558x65946,Male,66,Race relations officer,9,61239,Administrative,"Arabic, Mandarin"
Samaira,Kamdar,samaira.kamdar694@slingacademy.com,251.429.3854x3096,Female,58,"Designer, television/film set",1,61239,Administrative,Arabic
Jennifer,Price,jennifer.price398@slingacademy.com,391.570.8471,Female,52,Ecologist,7,116670,Operations,Spanish
Jennifer,Warner,jennifer.warner258@slingacademy.com,463.566.3357,Female,68,"Teacher, English as a foreign language",5,90000,Legal,Tagalog
博,叶,博.叶656@slingacademy.com,001-723-916-8098x395,Male,44,Television floor manager,1,101420,Sales,"Tagalog, Arabic"
Dana,Ross,dana.ross93@slingacademy.com,616.798.1301x14345,Female,21,Control and instrumentation engineer,1,149000,Product,
Patricia,Knight,patricia.knight968@slingacademy.com,(410)471-6990,Female,19,Orthoptist,10,131000,I/T,
John,Jones,john.jones619@slingacademy.com,254-920-7800,Male,49,Set designer,7,101420,Sales,Arabic
Natalie,Ray,natalie.ray91@slingacademy.com,(349)627-5514x458,Female,54,Mudlogger,1,149000,Product,
Anahi,Kala,anahi.kala236@slingacademy.com,(424)712-8920x7564,Female,26,Energy engineer,14,78000,Marketing,
Badal,Bala,badal.bala227@slingacademy.com,001-692-398-8209x45754,Male,32,"Engineer, civil (contracting)",9,129000,Finance,Tagalog
Sarah,Lucas,sarah.lucas814@slingacademy.com,001-893-778-3994x8408,Female,43,"Psychologist, sport and exercise",7,116670,Operations,Mandarin
俊,杨,俊.杨872@slingacademy.com,848.770.5499x7236,Male,40,Graphic designer,9,131000,I/T,
志宏,李,志宏.李574@slingacademy.com,646-432-8208,Male,26,"Lighting technician, broadcasting/film/video",5,78000,Marketing,"Arabic, Tagalog"
Ivan,Dugar,ivan.dugar588@slingacademy.com,4572370979,Male,51,"Surveyor, hydrographic",15,149000,Product,
荣,张,荣.张599@slingacademy.com,991.827.4940x62260,Female,63,Optometrist,12,78000,Marketing,
Aniruddh,Venkataraman,aniruddh.venkataraman97@slingacademy.com,001-824-563-9897,Male,33,Licensed conveyancer,8,61239,Administrative,Mandarin
Ian,Atkinson,ian.atkinson670@slingacademy.com,3909202343,Male,47,Passenger transport manager,6,149000,Product,"Mandarin, Tagalog"
Rasha,Agarwal,rasha.agarwal695@slingacademy.com,+1-832-399-3504x2897,Female,34,Comptroller,1,85000,Human Resource,Arabic
Eric,Cisneros,eric.cisneros352@slingacademy.com,274.307.4051x1586,Male,54,"Surveyor, hydrographic",3,116670,Operations,"Tagalog, Tagalog"
Carl,Norton,carl.norton344@slingacademy.com,+1-860-614-0655x89994,Male,68,Network engineer,14,116670,Operations,
Justin,Smith,justin.smith69@slingacademy.com,281.768.5480,Male,20,Television production assistant,2,61239,Administrative,
Emily,Jackson,emily.jackson742@slingacademy.com,(771)253-5040x841,Female,64,Consulting civil engineer,10,116670,Operations,Mandarin
Purab,Comar,purab.comar770@slingacademy.com,(280)494-8686x975,Male,55,Hospital doctor,2,131000,I/T,Spanish
Shray,Ratti,shray.ratti334@slingacademy.com,246.317.2368x54396,Female,36,Event organiser,12,61239,Administrative,Arabic
Indranil,Bakshi,indranil.bakshi669@slingacademy.com,855-512-9010,Male,59,Broadcast journalist,7,78000,Marketing,Mandarin
Sabrina,Green,sabrina.green409@slingacademy.com,3817399164,Female,55,Toxicologist,7,101420,Sales,"Korean, Mandarin"
Alia,Toor,alia.toor363@slingacademy.com,(875)643-6062,Male,52,Curator,11,61239,Administrative,"Mandarin, Tagalog"
Nitya,Virk,nitya.virk505@slingacademy.com,001-288-463-7614,Female,25,"Nurse, learning disability",8,131000,I/T,Mandarin
Charles,Hardy,charles.hardy26@slingacademy.com,631-200-6680x126,Male,50,Environmental education officer,14,149000,Product,
Emily,Kim,emily.kim217@slingacademy.com,+1-460-693-2310,Female,28,IT sales professional,9,149000,Product,
Kelly,Villa,kelly.villa237@slingacademy.com,+1-708-829-3647x6967,Female,19,Jewellery designer,8,101420,Sales,
Evan,Long,evan.long806@slingacademy.com,4773207307,Male,43,Financial adviser,2,116670,Operations,
Joshua,Lucas,joshua.lucas923@slingacademy.com,(983)595-9208,Male,38,Counsellor,4,116670,Operations,
Maria,Wise,maria.wise944@slingacademy.com,+1-337-310-2229x3170,Female,64,"Buyer, retail",11,90000,Legal,Tagalog
Divyansh,Khatri,divyansh.khatri857@slingacademy.com,619.799.3131x952,Male,61,Energy engineer,1,149000,Product,"Arabic, Spanish"
凤英,何,凤英.何673@slingacademy.com,898.847.0504x841,Female,45,Illustrator,3,116670,Operations,"Hindi, Spanish"
Hridaan,Venkatesh,hridaan.venkatesh401@slingacademy.com,816-842-3054,Female,35,"Scientist, physiological",2,116670,Operations,Korean
Molly,Moody,molly.moody686@slingacademy.com,+1-356-630-4343x03230,Female,32,Geochemist,3,78000,Marketing,"Hindi, Tagalog"
Teresa,Burnett,teresa.burnett368@slingacademy.com,898-265-1666,Female,47,Marketing executive,3,116670,Operations,"Spanish, Arabic"
Adira,Madan,adira.madan905@slingacademy.com,001-880-396-1792,Male,70,General practice doctor,13,129000,Finance,Korean
Michael,Contreras,michael.contreras86@slingacademy.com,(849)383-1665x361,Male,65,Community arts worker,8,116670,Operations,"Hindi, Spanish"
Kenneth,Smith,kenneth.smith818@slingacademy.com,774.964.2264x09597,Male,58,"Administrator, local government",1,149000,Product,
Brittany,Hoover,brittany.hoover655@slingacademy.com,+1-942-793-8921x31755,Female,70,Community education officer,9,131000,I/T,"Hindi, Tagalog"
Piya,Luthra,piya.luthra362@slingacademy.com,7894415994,Male,42,Proofreader,10,61239,Administrative,"Korean, Arabic"
Molly,Murray,molly.murray708@slingacademy.com,(511)885-7756x25930,Female,67,Animal technologist,8,101420,Sales,Mandarin
Anthony,Harris,anthony.harris822@slingacademy.com,001-657-860-7601,Male,64,Air broker,15,85000,Human Resource,Tagalog
Michael,Graham,michael.graham323@slingacademy.com,390.283.5668x72811,Male,63,Environmental manager,8,101420,Sales,Tagalog
Samuel,Brady,samuel.brady903@slingacademy.com,001-965-994-7985x91825,Male,55,Production engineer,4,131000,I/T,"Hindi, Arabic"
Robert,Maldonado,robert.maldonado521@slingacademy.com,+1-422-320-5300,Male,36,Office manager,6,78000,Marketing,
Alisha,Chadha,alisha.chadha830@slingacademy.com,+1-309-870-1082x365,Male,66,Communications engineer,8,101420,Sales,
Peter,Fry,peter.fry551@slingacademy.com,769.798.5786x9957,Male,53,Stage manager,11,101420,Sales,"Hindi, Tagalog"
Daniel,Hoover,daniel.hoover510@slingacademy.com,321-845-1627x6888,Male,51,Records manager,8,116670,Operations,Spanish
Joshua,Walsh,joshua.walsh567@slingacademy.com,(936)866-4274,Male,59,"Therapist, art",1,116670,Operations,Korean
Mckenzie,Gray,mckenzie.gray309@slingacademy.com,+1-410-766-8126x06827,Female,38,Prison officer,13,129000,Finance,Mandarin
欢,王,欢.王217@slingacademy.com,+1-565-978-7703x81729,Male,19,Product designer,13,101420,Sales,"Spanish, Spanish"
Purab,Rattan,purab.rattan343@slingacademy.com,542.740.6514x6171,Female,48,Environmental consultant,3,101420,Sales,"Arabic, Arabic"
Tonya,Frazier,tonya.frazier166@slingacademy.com,684.828.4135,Female,56,"Engineer, land",14,61239,Administrative,"Spanish, Hindi"
Thomas,Cummings,thomas.cummings318@slingacademy.com,+1-809-202-5480x1806,Male,43,Applications developer,10,116670,Operations,
Bradley,Rivera,bradley.rivera794@slingacademy.com,478-498-1466x198,Male,49,"Therapist, horticultural",11,85000,Human Resource,Spanish
Jiya,Soni,jiya.soni94@slingacademy.com,(896)517-5419,Male,24,Medical secretary,4,116670,Operations,
Natalie,Callahan,natalie.callahan221@slingacademy.com,001-791-931-9988,Female,38,"Administrator, charities/voluntary organisations",2,90000,Legal,
Melody,Santiago,melody.santiago50@slingacademy.com,869.953.6983,Female,57,Barrister's clerk,2,90000,Legal,"Arabic, Hindi"
Lauren,Wright,lauren.wright903@slingacademy.com,284-566-7776,Female,43,Glass blower/designer,9,101420,Sales,
Parinaaz,Dara,parinaaz.dara513@slingacademy.com,(616)598-7557x04161,Male,41,Radio broadcast assistant,14,78000,Marketing,
Willie,Jackson,willie.jackson304@slingacademy.com,8493037554,Male,22,Administrator,3,78000,Marketing,"Spanish, Hindi"
Samarth,Desai,samarth.desai303@slingacademy.com,(606)257-0992x44604,Female,20,"Surveyor, commercial/residential",12,78000,Marketing,Mandarin
Elakshi,Bassi,elakshi.bassi103@slingacademy.com,(459)464-5106x7873,Female,20,Dentist,8,101420,Sales,Arabic
Kiara,Yohannan,kiara.yohannan999@slingacademy.com,373-451-1807x34967,Male,57,"Doctor, general practice",14,85000,Human Resource,"Mandarin, Hindi"
Sarah,White,sarah.white462@slingacademy.com,(541)492-8644x915,Female,35,Quarry manager,10,101420,Sales,
Ahana ,Kumar,ahana .kumar749@slingacademy.com,001-908-482-5406,Male,70,"Optician, dispensing",7,101420,Sales,
秀云,李,秀云.李837@slingacademy.com,3108952450,Female,34,Medical illustrator,2,116670,Operations,"Mandarin, Hindi"
Kabir,Wadhwa,kabir.wadhwa129@slingacademy.com,001-782-655-3984x7192,Female,51,Regulatory affairs officer,10,101420,Sales,"Hindi, Korean"
Zara,Upadhyay,zara.upadhyay342@slingacademy.com,+1-769-759-1965x20393,Female,40,Occupational therapist,11,116670,Operations,Hindi
Tiya,Raju,tiya.raju188@slingacademy.com,211-495-3898,Female,60,Electrical engineer,2,149000,Product,Mandarin
Aarna,Mann,aarna.mann46@slingacademy.com,001-746-541-7251x5564,Female,29,"Administrator, education",14,149000,Product,
Maria,Lawrence,maria.lawrence177@slingacademy.com,(631)859-7607,Female,61,Social researcher,15,131000,I/T,"Hindi, Arabic"
Ira,Sarin,ira.sarin487@slingacademy.com,336-380-1302x278,Female,44,Television camera operator,11,116670,Operations,
Anahita,Shenoy,anahita.shenoy462@slingacademy.com,001-772-280-2033x09968,Female,46,Building control surveyor,9,131000,I/T,"Mandarin, Arabic"
Isaac,Moore,isaac.moore124@slingacademy.com,276.301.0458,Male,28,Retail merchandiser,5,85000,Human Resource,
Jenna,Walker,jenna.walker134@slingacademy.com,987.512.4000x057,Female,54,"Surveyor, quantity",2,61239,Administrative,Korean
Terry,Thomas,terry.thomas690@slingacademy.com,(246)491-7176,Female,18,"Restaurant manager, fast food",14,61239,Administrative,
Tammy,White,tammy.white338@slingacademy.com,594.774.3458,Female,36,Social researcher,2,131000,I/T,"Korean, Mandarin"
Bhamini,Rastogi,bhamini.rastogi691@slingacademy.com,8633962163,Male,20,Fish farm manager,12,131000,I/T,"Spanish, Hindi"
Damini,Taneja,damini.taneja289@slingacademy.com,772.321.7328x41284,Male,38,"Designer, interior/spatial",13,131000,I/T,"Mandarin, Tagalog"
Charles,Davenport,charles.davenport468@slingacademy.com,543.366.7952x75500,Male,35,Architect,11,129000,Finance,"Arabic, Tagalog"
建平,吴,建平.吴33@slingacademy.com,286-901-5371x3040,Male,25,"Programmer, applications",13,149000,Product,"Mandarin, Spanish"
Aayush,Bali,aayush.bali917@slingacademy.com,(478)284-4130,Male,50,Clinical embryologist,15,101420,Sales,
Kathleen,Gray,kathleen.gray691@slingacademy.com,798-811-3168x590,Female,18,"Presenter, broadcasting",1,149000,Product,Arabic
Richard,Rosales,richard.rosales483@slingacademy.com,+1-929-817-5895x106,Male,18,Freight forwarder,4,85000,Human Resource,
Ivana,Sachar,ivana.sachar575@slingacademy.com,8808495971,Male,24,Best boy,12,116670,Operations,"Arabic, Mandarin"
Carmen,Anderson,carmen.anderson746@slingacademy.com,001-934-726-1518,Female,31,Medical sales representative,15,149000,Product,
Timothy,Davis,timothy.davis597@slingacademy.com,477.692.6498x646,Male,24,Investment analyst,10,149000,Product,
Brian,Mason,brian.mason887@slingacademy.com,623.922.1756,Male,69,Teaching laboratory technician,15,149000,Product,"Hindi, Arabic"
Brenda,Johnson,brenda.johnson574@slingacademy.com,474.664.9924x88090,Female,28,Archaeologist,13,90000,Legal,
Brenda,Jones,brenda.jones502@slingacademy.com,233-885-3869x3753,Female,52,"Programmer, systems",12,85000,Human Resource,"Korean, Hindi"
Jayesh,Sane,jayesh.sane557@slingacademy.com,(697)659-9152,Female,20,Control and instrumentation engineer,14,149000,Product,Korean
Jhanvi,Kohli,jhanvi.kohli126@slingacademy.com,676-658-3610x341,Female,42,Trade union research officer,7,85000,Human Resource,Korean
Divit,Wali,divit.wali954@slingacademy.com,526.515.2598,Male,67,"Librarian, public",12,85000,Human Resource,Arabic
Cynthia,Rose,cynthia.rose483@slingacademy.com,(948)304-1508,Female,52,Cabin crew,2,116670,Operations,"Arabic, Hindi"
Shane,King,shane.king382@slingacademy.com,(905)864-7192,Male,63,Purchasing manager,15,131000,I/T,
Megan,Ramsey,megan.ramsey409@slingacademy.com,578.629.6022,Female,49,"Teacher, English as a foreign language",10,78000,Marketing,Hindi
Michael,Gardner,michael.gardner854@slingacademy.com,001-495-260-0135x62300,Male,32,Paramedic,4,129000,Finance,Hindi
Gabriel,Murray,gabriel.murray188@slingacademy.com,(912)546-6972x214,Male,38,Computer games developer,9,85000,Human Resource,"Mandarin, Hindi"
Brian,Lopez,brian.lopez472@slingacademy.com,238-927-8057,Male,39,Petroleum engineer,2,61239,Administrative,
Aaron,Ellison,aaron.ellison472@slingacademy.com,987-457-3631x392,Male,41,Operational investment banker,11,116670,Operations,
Aaron,Stark,aaron.stark246@slingacademy.com,(841)942-8853x2828,Male,34,Race relations officer,9,78000,Marketing,
James,Rogers,james.rogers687@slingacademy.com,3248354221,Male,60,Oceanographer,9,61239,Administrative,
Anay,Jha,anay.jha972@slingacademy.com,+1-519-270-5669x26804,Female,25,Event organiser,9,61239,Administrative,"Hindi, Arabic"
Anika,Chawla,anika.chawla563@slingacademy.com,635.795.5358x11704,Male,67,Sports development officer,14,78000,Marketing,Mandarin
Jeffrey,Warner,jeffrey.warner461@slingacademy.com,4128258285,Male,67,"Engineer, electronics",3,85000,Human Resource,"Korean, Spanish"
Sean,Washington,sean.washington214@slingacademy.com,701.376.2203x223,Male,60,Plant breeder/geneticist,4,149000,Product,
Deanna,Ward,deanna.ward699@slingacademy.com,(575)416-8436,Female,40,"Loss adjuster, chartered",3,101420,Sales,Hindi
Jeffrey,Anderson,jeffrey.anderson224@slingacademy.com,(221)600-7977x55555,Male,28,Jewellery designer,5,149000,Product,Arabic
Sara,Freeman,sara.freeman740@slingacademy.com,890.734.3711,Female,47,Systems developer,11,131000,I/T,
Myra,Soman,myra.soman518@slingacademy.com,+1-560-320-6215x1231,Female,47,Architect,5,101420,Sales,Arabic
Leroy,Ferguson,leroy.ferguson743@slingacademy.com,001-577-697-4702x881,Male,31,Air cabin crew,3,116670,Operations,Korean
怡萱,許,怡萱.許773@slingacademy.com,+1-680-831-7207x44874,Female,19,Geophysical data processor,13,131000,I/T,
Cody,Wang,cody.wang252@slingacademy.com,(549)741-1780x03860,Male,60,Armed forces training and education officer,15,129000,Finance,"Mandarin, Arabic"
Michael,Adams,michael.adams443@slingacademy.com,(585)439-4428,Male,67,Contracting civil engineer,3,116670,Operations,Hindi
Brianna,Maddox,brianna.maddox570@slingacademy.com,001-404-277-2681,Female,31,Bookseller,13,116670,Operations,"Arabic, Spanish"
Purab,Kamdar,purab.kamdar712@slingacademy.com,961-814-4449,Male,49,Recycling officer,15,131000,I/T,
Lucía,Escalante,lucía.escalante172@slingacademy.com,926.939.6746x8365,Female,29,Advertising account executive,4,131000,I/T,
Jennifer,Hall,jennifer.hall561@slingacademy.com,333-364-4942x73655,Female,36,"Engineer, mining",7,61239,Administrative,"Mandarin, Arabic"
Alyssa,Henry,alyssa.henry606@slingacademy.com,438.952.2320,Female,44,Solicitor,5,131000,I/T,
Jacob,Stout,jacob.stout438@slingacademy.com,647.678.9884,Male,26,Chief Technology Officer,12,149000,Product,"Spanish, Hindi"
Robert,Brewer,robert.brewer740@slingacademy.com,816.626.5052x15502,Male,19,"Engineer, maintenance (IT)",12,149000,Product,Hindi
Kirk,Hall,kirk.hall582@slingacademy.com,911-839-7065x47376,Male,38,Translator,6,131000,I/T,Tagalog
Chelsea,Petty,chelsea.petty304@slingacademy.com,001-433-723-6366x9379,Female,53,Charity officer,15,78000,Marketing,
冬梅,李,冬梅.李371@slingacademy.com,(497)310-1908,Female,40,Psychiatrist,8,116670,Operations,
秀云,吴,秀云.吴519@slingacademy.com,5787303018,Female,63,Patent examiner,9,78000,Marketing,"Hindi, Hindi"
Divit,Bhargava,divit.bhargava496@slingacademy.com,652-782-6883x7406,Male,56,Gaffer,12,78000,Marketing,"Spanish, Korean"
Samar,Kadakia,samar.kadakia617@slingacademy.com,+1-346-494-8566x04763,Female,22,Chemical engineer,3,116670,Operations,"Mandarin, Mandarin"
Marcus,Mcbride,marcus.mcbride837@slingacademy.com,+1-498-771-0287x442,Male,41,"Therapist, art",3,101420,Sales,Korean
Jill,Harmon,jill.harmon488@slingacademy.com,361-768-1160,Female,53,Phytotherapist,7,149000,Product,Spanish
Raghav,Butala,raghav.butala104@slingacademy.com,(500)466-0800,Male,67,Secondary school teacher,2,131000,I/T,"Hindi, Korean"
Brian,Williams,brian.williams837@slingacademy.com,001-345-512-3965,Male,63,Therapeutic radiographer,13,116670,Operations,Hindi
建国,时,建国.时829@slingacademy.com,001-772-563-4228x32305,Male,45,Herpetologist,10,131000,I/T,
Sarah,Shaw,sarah.shaw178@slingacademy.com,650.412.3752,Female,37,"Engineer, agricultural",11,101420,Sales,"Hindi, Arabic"
Sumer,Dhingra,sumer.dhingra960@slingacademy.com,778-572-8143,Female,58,Technical sales engineer,11,101420,Sales,
Joshua,Adkins,joshua.adkins356@slingacademy.com,(940)746-5106,Male,49,"Education officer, environmental",11,116670,Operations,
Armaan,Bora,armaan.bora779@slingacademy.com,001-963-218-7629x4490,Male,32,Theatre manager,14,116670,Operations,Arabic
Advik,Ganguly,advik.ganguly832@slingacademy.com,654-715-2921x383,Female,45,Medical laboratory scientific officer,3,116670,Operations,
Yashvi,Dubey,yashvi.dubey970@slingacademy.com,540-934-3138,Male,62,Trade mark attorney,4,149000,Product,
Christina,Case,christina.case720@slingacademy.com,573-741-2231x78944,Female,69,Commissioning editor,12,101420,Sales,Arabic
Zaina,Sibal,zaina.sibal728@slingacademy.com,683-840-0327x6516,Male,52,Geoscientist,11,116670,Operations,"Korean, Spanish"
Prerak,Butala,prerak.butala506@slingacademy.com,(277)764-6279,Female,56,Magazine journalist,5,101420,Sales,
Sandra,Norris,sandra.norris651@slingacademy.com,741-677-0242x481,Female,34,Dance movement psychotherapist,12,101420,Sales,"Arabic, Hindi"
Keya,Goswami,keya.goswami248@slingacademy.com,001-945-615-8778x8744,Male,51,Chartered certified accountant,4,131000,I/T,"Spanish, Tagalog"
Barbara,Banks,barbara.banks930@slingacademy.com,777-680-8935x4512,Female,65,Careers information officer,11,149000,Product,"Spanish, Korean"
Kevin,Watson,kevin.watson472@slingacademy.com,+1-757-209-3606,Male,61,Medical sales representative,7,149000,Product,"Spanish, Korean"
Tony,Gallagher,tony.gallagher856@slingacademy.com,566.914.4096,Male,39,Equities trader,3,116670,Operations,
Raymond,Lane,raymond.lane531@slingacademy.com,594.999.8971x742,Male,68,"Surveyor, building",14,149000,Product,
Danielle,Bruce,danielle.bruce996@slingacademy.com,001-776-847-0044,Female,21,Public house manager,7,85000,Human Resource,Mandarin
William,Gilbert,william.gilbert458@slingacademy.com,272-762-1055x85904,Male,68,Secretary/administrator,13,85000,Human Resource,Tagalog
Stacey,Mendoza,stacey.mendoza588@slingacademy.com,001-738-220-7749,Female,23,Bookseller,5,149000,Product,
Alisha,Randhawa,alisha.randhawa395@slingacademy.com,(509)582-6998x8884,Male,41,"Civil engineer, consulting",1,78000,Marketing,Korean
Daniel,Day,daniel.day267@slingacademy.com,(869)565-7055x8328,Male,41,Community education officer,2,149000,Product,"Korean, Hindi"
Kristin,Warren,kristin.warren963@slingacademy.com,872-408-8722x28850,Female,40,Communications engineer,4,149000,Product,Spanish
Tina,Wilson,tina.wilson95@slingacademy.com,228.566.8434x91009,Female,40,"Production assistant, television",7,90000,Legal,"Spanish, Mandarin"
Aaina,Sule,aaina.sule579@slingacademy.com,001-945-650-7090,Male,27,Technical brewer,3,116670,Operations,Mandarin
Tushar,Kara,tushar.kara404@slingacademy.com,666.265.5723x61863,Female,23,Art gallery manager,10,116670,Operations,"Hindi, Mandarin"
Aarav,Warrior,aarav.warrior83@slingacademy.com,(603)533-0188x7766,Male,37,Recycling officer,1,149000,Product,"Spanish, Tagalog"
Andrea,Brown,andrea.brown555@slingacademy.com,+1-765-998-7655x4392,Female,36,"Conservation officer, historic buildings",12,131000,I/T,"Tagalog, Mandarin"
玉华,王,玉华.王979@slingacademy.com,(860)295-6458x44856,Female,51,Phytotherapist,9,116670,Operations,
Devansh,Saha,devansh.saha608@slingacademy.com,358.932.7917,Female,60,Armed forces logistics/support/administrative officer,9,61239,Administrative,"Spanish, Spanish"
Mahika,Acharya,mahika.acharya564@slingacademy.com,(754)370-1968,Male,70,"Designer, fashion/clothing",1,61239,Administrative,
Linda,Mendoza,linda.mendoza466@slingacademy.com,554-919-2463,Female,21,Chief Technology Officer,3,78000,Marketing,"Spanish, Mandarin"
Richard,Rojas,richard.rojas88@slingacademy.com,+1-942-943-3588x07156,Male,28,Database administrator,11,149000,Product,Tagalog
Biju,Kunda,biju.kunda464@slingacademy.com,887-494-5359x336,Female,62,Interpreter,2,85000,Human Resource,Spanish
Matthew,Haynes,matthew.haynes554@slingacademy.com,(399)419-5473x321,Male,43,"Journalist, broadcasting",11,61239,Administrative,Arabic
Esther,Tapia,esther.tapia467@slingacademy.com,+1-546-777-9546x3782,Female,31,Police officer,10,149000,Product,
Megan,Stark,megan.stark279@slingacademy.com,001-741-868-9130x25101,Female,61,Financial trader,1,85000,Human Resource,
Logan,Green,logan.green423@slingacademy.com,(753)880-0344x6650,Male,53,Chemical engineer,15,61239,Administrative,Tagalog
Susan,Ward,susan.ward679@slingacademy.com,(561)969-2307x436,Female,20,Wellsite geologist,3,129000,Finance,
Gatik,Saxena,gatik.saxena258@slingacademy.com,676-939-4914x944,Female,26,Music tutor,8,116670,Operations,"Korean, Arabic"
Indranil,Krishnamurthy,indranil.krishnamurthy438@slingacademy.com,+1-944-699-4879x9841,Female,47,"Scientist, research (physical sciences)",6,85000,Human Resource,Tagalog
Christine,Lutz,christine.lutz878@slingacademy.com,+1-591-380-3748x1560,Female,67,Retail banker,14,149000,Product,"Hindi, Tagalog"
